Date_Time,Country,City,State,Shape,Summary,lat,lng
1/14/16 18:45,USA,495 Maryland Hwy,MD,Triangle,Triangle UFO over Maryland Highway 495N.,39.42620790000,-79.33494550000
6/20/16 21:00,USA,Aberdeen,MD,Fireball,Fireball in sky over Aberdeen.,39.50955560000,-76.16411960000
8/19/16 22:45,USA,Aberdeen Gardens,WA,Unknown,"We watched 4 ufo's flying around then hover changing colors from white to red. One went down as if shot down.",47.07244700000,-123.77055990000
5/29/16 21:45,USA,Abilene,TX,Light,White light that makes quick 360 degree turns.,32.44645340000,-99.73334770000
4/4/16 22:30,USA,Abiquiu,NM,Changing,"Not stars glowing; Christmas stars. ((NUFORC Note: We suspect ""twinkling"" stars. PD))",36.20703130000,-106.31866930000
1/28/16 13:23,USA,Absecon,NJ,Unknown,"Analysis of ""sonic booms"" and shaking reported along New Jersey coast.",39.42845030000,-74.49570750000
1/17/16 4:15,USA,Accord,NY,Triangle,"Three gold/white lights - either an individual craft of three separate in tight formation - silentlymoving at slow speed - traveling S-",41.78564890000,-74.22903650000
3/25/16 22:00,USA,Acworth,GA,Circle,"I walked out of my house and looked up that's when I saw something circular shaped with brite white lights that is why I filed the repo",34.06593290000,-84.67687950000
3/10/16 4:00,USA,Adairsville,GA,Circle,"It hovered in one area for more than 30 min., constantly blinking. It looked like it had multiple lights. ((NUFORC Note: Star? PD))",34.36870210000,-84.93410920000
7/9/16 20:45,USA,Adrian,OR,Circle,Red blinking lights on the skyline at dusk.,43.74071050000,-117.07168030000
10/6/16 18:10,USA,Agoura Hills,CA,Oval,"I've spoken with you before. Wife shooting airplane and moon. Anomaly appeared in image 2 of 3 only. Facing west. Airplane probably ori",34.13639450000,-118.77453470000
10/15/16 2:30,USA,Aiken,SC,Sphere,Sphere UFO sighted on ISS live stream.,33.55985860000,-81.72195190000
7/26/16 23:10,USA,Aiken,SC,Unknown,"Small, rapid blinking, fast moving lights.",33.55985860000,-81.72195190000
7/27/16 3:33,CANADA,Air Ronge,SK,Light,"Around 3:33 am on July 27/16,I seen what looked like a bright star flying slow,from North to south,south/east.It took about 3 Minutes t",55.08701400000,-105.32180790000
6/29/16 23:00,USA,Akron,OH,Circle,"My boyfriend and I were having a bonfire when he noticed a strange object in the sky moving east; it looked as though it was on fire bu",41.08306430000,-81.51848530000
9/24/16 22:00,USA,Akron,OH,Formation,"I saw 4 amber glowing disk shaped objects very low to the ground over Merriman Valley. I was driving so it was difficult to watch. Very",41.08306430000,-81.51848530000
6/2/16 21:30,USA,Akron,OH,Light,"20-30 multicolored fast moving orbs seen over Akron, Ohio.",41.08306430000,-81.51848530000
11/11/16 23:00,USA,Alabaster,AL,Light,"Light anomaly that didnt blink spotted sitting still than moving slow. ((anonymous report))",33.24428130000,-86.81637720000
7/7/16 0:40,USA,Alameda,CA,Unknown,"Saw green flashing or lightning twice in a minute. I woke up and saw 2 flashes.",37.60902910000,-121.89914190000
2/25/16 21:25,USA,Alamogordo,NM,Sphere,"We saw 2 orange orbs stationary, side by side on the horizon. Within seconds, the first orb disappeared, then the second disappeared.",32.89979970000,-105.96033970000
2/22/16 22:00,USA,Alamogordo,NM,Sphere,"Outside @~ 8:00pm on the E bench of the mountains above the city. We noticed some orange orbs flashing on and off north of the base.",32.89979970000,-105.96033970000
7/2/16 22:00,USA,Alamogordo,NM,Sphere,Orange orbs fly over neighborhood.,32.89979970000,-105.96033970000
4/21/16 19:35,USA,Albany,NY,Cigar,"I was eating at local restaurant on Wolf Rd looking towards the western sky and saw a straight black object flying straight up and down",42.65116740000,-73.75496790000
10/9/16 19:00,USA,Albany,NY,Circle,"Was brillant lights and shape like cigar and disc, 3 one step for few and flew quik, the others 2 same. ((anonymous report))",42.65116740000,-73.75496790000
8/18/16 21:45,USA,Albany,OR,Circle,"Circle aircraft, with three non-blinking lights, passed over very slowly.",44.63650710000,-123.10593230000
1/11/16 5:00,USA,Albany,NY,Light,"Star-like orange object that could move in a way I've never seen before - that emitted smaller objects and have them return.",42.65116740000,-73.75496790000
